Model,Units,Accuracy (%),F1 (%),Parameters,Training Time (s)
RNN,16,74.0,73.85038322961505,790,26.87118148803711
LSTM,16,94.88888888888889,94.87306794230021,2038,21.437703847885132
GRU,16,93.55555555555556,93.51432512037641,1670,21.220741033554077
RNN,32,81.33333333333333,81.3727288448602,1974,26.595826625823975
LSTM,32,96.0,95.9983505439748,6006,21.6683349609375
GRU,32,94.66666666666667,94.64285714285715,4758,21.13682723045349
RNN,64,79.11111111111111,78.86577042545309,5878,27.503682374954224
LSTM,64,92.66666666666666,92.50223411395247,20086,21.60466718673706
GRU,64,96.22222222222221,96.21686539289274,15542,21.33734369277954
